,MTI,ideal
0,0,0
1,10,0
2,1,1
3,0,1
4,0,0
5,0,0
6,6,5
7,0,0
8,41,31
9,1,1
10,0,0
11,18,18
12,0,0
13,1,1
14,1,1
15,1,1
16,22,34
17,3,5
18,2,9
19,62,55
20,2,5
21,10,3
22,30,30
23,1,1
24,0,0
25,4,3
26,1,2
27,1,2
28,8,15
29,1,3
30,0,0
31,26,18
32,0,0
33,0,0
34,1,1
35,0,0
36,0,0
37,0,0
38,0,0
39,2,2
40,0,0
41,0,0
42,76,78
43,0,0
44,3,2
45,2,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,7,7
56,0,0
57,8,13
58,0,0
59,74,64
60,3,2
61,0,0
62,10,3
63,0,0
64,0,0
65,0,0
66,0,0
67,1,1
68,62,64
69,0,1
70,0,0
71,4,6
72,2,2
73,1,2
74,54,47
75,2,3
76,0,0
77,4,5
78,0,0
79,98,92
80,0,0
81,0,0
82,0,0
83,1,1
84,3,4
85,1,1
86,0,0
87,0,0
88,0,0
89,1,1
90,0,0
91,2,2
92,22,64
93,2,2
94,0,0
95,0,1
96,1,0
97,0,0
98,2,2
99,2,1
100,1,0
101,0,0
102,0,2
103,3,3
104,0,0
105,1,1
106,3,3
107,15,4
108,67,65
109,0,0
110,0,0
111,0,1
112,1,1
113,2,3
114,3,3
115,0,0
116,0,0
117,0,0
118,7,12
119,6,6
120,0,0
121,0,0
122,0,0
123,0,0
124,3,3
125,10,16
126,1,2
127,42,20
128,30,33
129,54,56
130,0,0
131,1,0
132,62,17
133,6,28
134,35,51
135,0,0
136,1,1
137,2,3
138,0,0
139,5,4
140,4,4
141,81,83
142,0,0
143,0,0
144,32,30
145,0,0
146,0,0
147,46,51
148,0,0
149,83,76
150,0,0
151,3,2
152,0,0
153,2,2
154,10,10
155,8,5
156,0,0
157,0,0
158,1,0
159,0,0
160,11,6
161,23,25
162,0,0
163,42,42
164,0,0
165,0,0
166,23,19
167,0,0
168,0,0
169,31,19
170,6,6
171,1,1
172,0,0
173,49,47
174,35,29
175,5,7
176,67,80
177,0,0
178,50,47
179,4,3
180,0,0
181,5,5
182,0,0
183,2,2
184,0,0
185,0,0
186,1,1
187,1,0
188,8,7
189,3,3
190,7,10
191,9,6
192,0,0
193,1,3
194,0,0
195,0,0
196,0,0
197,0,0
198,6,3
199,1,1
200,0,0
201,0,0
202,2,3
203,0,0
204,0,0
205,0,0
206,0,0
207,7,7
208,2,6
209,0,1
210,3,3
211,0,0
212,4,10
213,3,3
214,46,21
215,78,83
216,20,33
217,0,0
218,0,0
219,0,0
220,0,0
221,1,1
222,60,57
223,46,19
224,3,3
225,0,0
226,0,0
227,1,1
228,4,4
229,36,36
230,0,0
231,0,0
232,1,1
233,1,1
234,0,0
235,3,4
236,0,0
237,3,3
238,0,0
239,3,3
240,0,0
241,0,0
242,1,1
243,0,0
244,0,0
245,5,5
246,0,0
247,0,0
248,0,0
249,1,1
250,0,0
251,2,2
252,7,8
253,1,2
254,1,1
255,54,78
256,69,62
257,1,0
258,0,0
259,3,3
260,0,0
261,0,0
262,0,0
263,0,0
264,0,1
265,2,1
266,0,0
267,18,36
268,4,39
269,0,0
270,5,1
271,0,0
272,2,2
273,0,0
274,0,0
275,0,0
276,0,0
277,10,10
278,21,22
279,6,5
280,0,0
281,5,3
282,2,2
