,0
0,Proto-Oncogene Proteins c-vav
1,"Melanoma, Experimental"
2,Guanosine
3,Catheter Ablation
4,"Genes, erbB-1"
5,Cystatin C
6,LDL-Receptor Related Proteins
7,"Influenza A Virus, H3N2 Subtype"
8,Disease Progression
9,Cheek
10,Risk
11,Cardiac Rehabilitation
12,Drug Liberation
13,Histone Deacetylase Inhibitors
14,Bone Transplantation
15,Forestry
16,"Therapy, Computer-Assisted"
17,Interferon Regulatory Factors
18,"Hospital Bed Capacity, under 100"
19,Inhibitor of Apoptosis Proteins
20,Anions
21,Single-Domain Antibodies
22,Nosema
23,Gastric Juice
24,Liver Transplantation
25,Undaria
26,Language Development Disorders
27,Retirement
28,Breakthrough Pain
29,"Dermatitis, Allergic Contact"
30,"Accidents, Occupational"
31,Sequestosome-1 Protein
32,Hospices
33,Conserved Sequence
34,Auditory Perception
35,Alveolar Ridge Augmentation
36,Audiology
37,Triazoles
38,Amphipoda
39,Computer Terminals
40,"Lymphoma, Mantle-Cell"
41,Lactobacillus
42,"Genome, Protozoan"
43,Czech Republic
44,Glucosinolates
45,Global Health
46,Entropy
47,Shwachman-Diamond Syndrome
48,Fossil Fuels
49,Assertiveness
50,Topotecan
51,Intracranial Aneurysm
52,Mucins
53,Prenatal Diagnosis
54,Emotional Adjustment
55,"Epilepsy, Temporal Lobe"
56,Tertiary Care Centers
57,Chemokine CXCL2
58,Solanum tuberosum
59,Phosphorylation
60,Alligators and Crocodiles
61,"DNA, Mitochondrial"
62,Retinal Dystrophies
63,Aphanomyces
64,"Diagnosis, Computer-Assisted"
65,Perception
66,Clozapine
67,Exercise Tolerance
68,"Students, Pharmacy"
69,Cryotherapy
70,Survival Rate
71,Dentinogenesis Imperfecta
72,Carrier State
73,"Fractures, Compression"
74,Infectious pancreatic necrosis virus
75,Shigella sonnei
76,Coercion
77,Small Cell Lung Carcinoma
78,"Education, Nursing, Continuing"
79,"Mammary Glands, Human"
80,Living Donors
81,Actin-Related Protein 2-3 Complex
