,labels
0,
1,Back Muscles
2,Deoxy Sugars
3,Singlet Oxygen
4,Sleep Bruxism
5,Nanopores
6,Metronidazole
7,"Endoscopy, Digestive System"
8,Histamine Release
9,Voltage-Dependent Anion Channel 1
10,Contraceptive Prevalence Surveys
11,Hydrazones
12,Vein of Galen Malformations
13,Disasters
14,"Angioplasty, Balloon, Laser-Assisted"
15,"Carcinoma, Ehrlich Tumor"
16,Dihydropyrimidine Dehydrogenase Deficiency
17,Cytoglobin
18,"Osteotomy, Sagittal Split Ramus"
19,Comparative Genomic Hybridization
20,Brain Ischemia
21,Parental Leave
22,Zinc Finger Protein Gli3
23,Hemorrhagic Fever with Renal Syndrome
24,"Hematoma, Subdural, Chronic"
25,Leukapheresis
26,"Parainfluenza Virus 3, Human"
27,Nutrition Therapy
28,Tylenchoidea
29,Copying Processes
30,"ATP Binding Cassette Transporter, Subfamily D, Member 1"
31,Influenza Vaccines
32,Lac Operon
33,Theileria
34,Fetal Tissue Transplantation
35,Videoconferencing
36,"Asthma, Occupational"
37,"Apc1 Subunit, Anaphase-Promoting Complex-Cyclosome"
38,Photosynthetic Reaction Center Complex Proteins
39,Pentanols
40,Nogo Receptor 1
41,Pharynx
42,Ataxia Telangiectasia Mutated Proteins
43,Phocoena
44,Complement Activation
45,Primary Immunodeficiency Diseases
46,Complement C1q
47,Defensive Medicine
48,alpha-Mannosidase
49,"Spectrometry, Mass, Secondary Ion"
50,Glioblastoma
51,Diffusion of Innovation
52,G(M3) Ganglioside
53,Cholinergic Neurons
54,Cyclonic Storms
55,Homes for the Aged
56,Color
57,"Spectroscopy, Near-Infrared"
58,Aicardi Syndrome
59,Hepatomegaly
60,Adrenergic alpha-2 Receptor Agonists
61,Coal
62,Frameshift Mutation
63,Sagittaria
64,Program Development
65,Immunization Schedule
66,Cryptomeria
67,Intestinal Perforation
68,Group Processes
69,Neuronal Plasticity
70,Health Services Needs and Demand
71,Chagas Disease
72,"Signal Detection, Psychological"
73,"Genetics, Behavioral"
74,Thapsigargin
75,PHEX Phosphate Regulating Neutral Endopeptidase
76,Hepacivirus
77,Prolotherapy
78,Pyrimidines
79,Mouse Embryonic Stem Cells
80,Phlorhizin
81,Tenodesis
82,"Euthanasia, Passive"
83,Heterochromatin
84,"Leukemia, Myeloid"
85,Self Medication
86,Serotonin
87,Interleukin-1beta
88,Ribosome Inactivating Proteins
89,Francisella tularensis
90,Oxidation-Reduction
91,Mentalization
92,"Physicians, Women"
93,Hypokinesia
